"location", "wms_url", "lat", "lng", "year", "county", "comp_loc", "n_frk_res", "n_oth_res", "n_unk_res", "n_tot_res", "crowd_sel", "p_crd_a", "p_s_crd_a"
"40.11578678-79.78884825---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","40.1157867767","-79.7888482492","2010","Fayette","sweeper_internal","","1","","1","other","100",""
"39.94359142-79.98196333---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","39.9435914226","-79.9819633259","2008","Greene","sweeper_internal","","1","","1","other","100",""
"41.7415778-75.88664749---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.7415778","-75.88664749","2010","Susquehanna","first_internal","","3","","3","other","100",""
"41.9065738-76.92537056---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.9065738011","-76.9253705588","2010","Tioga","sweeper_internal","1","","","1","fracking","100",""
"41.86211685-76.01870821---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.8621168458","-76.018708207","2010","Susquehanna","sweeper_internal","","1","","1","other","100",""
"39.87241655-79.99733771---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","39.8724165514","-79.9973377052","2008","Greene","sweeper_internal","","1","","1","other","100",""
"41.0843343-78.02022624---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.0843343036","-78.0202262375","2010","Centre","sweeper_internal","1","","","1","fracking","100",""
"39.77800109-79.86088896---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","39.7780010911","-79.8608889572","2010","Fayette","public","1","9","","10","other","90",""
"39.97681915-79.43654121---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","39.9768191453","-79.4365412084","2010","Fayette","public","8","","2","10","fracking","80",""
"41.82586338-76.98464779---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","41.8258633771","-76.9846477906","2005","Tioga","missing_internal","","1","","1","other","100",""
"40.81190877-80.20185098---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","40.8119087685","-80.2018509792","2005","Beaver","final_internal","","3","","3","other","100",""
"41.91513016-75.81318721---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.91513016","-75.81318721","2010","Susquehanna","first_internal","","3","","3","other","100",""
"41.52343932-76.35045844---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.52343932","-76.35045844","2010","Sullivan","first_internal","","3","","3","other","100",""
"41.2785128-76.64313958---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","41.2785127983","-76.6431395763","2008","Lycoming","final_internal","","3","","3","other","100",""
"41.9326958-77.06208707---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.9326957999","-77.0620870743","2010","Tioga","public","","9","1","10","other","90",""
"39.88752693-80.01270148---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","39.8875269338","-80.0127014802","2005","Greene","final_internal","","3","","3","other","100",""
"41.07988664-78.0236259---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.0798866446","-78.0236259012","2010","Centre","public","","10","","10","other","100",""
"39.72481032-79.98420944---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","39.7248103175","-79.9842094375","2005","Greene","final_internal","","3","","3","other","100",""
"39.7812785-78.97213081---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","39.781278496","-78.9721308138","2010","Somerset","public","","10","","10","other","100",""
"41.73430056-77.16470696---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.7343005641","-77.1647069622","2010","Tioga","sweeper_internal","1","","","1","fracking","100",""
"40.22117342-79.70604101---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","40.2211734157","-79.7060410112","2008","Westmoreland","final_internal","","3","","3","other","100",""
"40.01092713-80.01870273---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","40.0109271342","-80.0187027274","2010","Washington","public","10","","","10","fracking","100",""
"41.78898523-76.31193799---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.78898523","-76.31193799","2010","Bradford","first_internal","","3","","3","other","100",""
"40.80076605-80.04501665---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","40.800766047","-80.0450166489","2008","Butler","first_internal","1","2","","3","other","66",""
"40.7584996-79.77918213---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","40.7584995962","-79.7791821257","2005","Butler","final_internal","","3","","3","other","100",""
"39.82983709-79.94866151---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","39.8298370911","-79.9486615068","2005","Greene","final_internal","","3","","3","other","100",""
"39.8778872-79.99013138---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","39.8778872031","-79.9901313831","2005","Greene","final_internal","","3","","3","other","100",""
"41.71176385-75.89791031---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","41.7117638519","-75.89791031","2005","Susquehanna","final_internal","","3","","3","other","100",""
"41.74847203-76.80525856---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.74847203","-76.80525856","2010","Bradford","first_internal","3","","","3","fracking","100",""
"40.27432791-80.21686239---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","40.2743279123","-80.2168623874","2010","Washington","public","10","","","10","fracking","100",""
"41.32789764-76.71230064---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.3278976405","-76.7123006357","2010","Lycoming","public","","10","","10","other","100",""
"41.67948313-76.06925918---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.6794831313","-76.0692591794","2010","Susquehanna","sweeper_internal","","1","","1","other","100",""
"40.38435037-79.49918072---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","40.3843503686","-79.4991807195","2010","Westmoreland","public","10","","","10","fracking","100",""
"41.72981719-75.87135967---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.72981719","-75.87135967","2010","Susquehanna","first_internal","","3","","3","other","100",""
"41.70279578-77.31434561---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.702795783","-77.3143456085","2010","Tioga","public","","12","","12","other","100",""
"41.54223184-76.48701759---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","41.5422318383","-76.4870175856","2005","Sullivan","final_internal","","3","","3","other","100",""
"40.08837283-79.9750576---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","40.0883728264","-79.9750576036","2010","Washington","sweeper_internal","1","","","1","fracking","100",""
"41.35262343-78.54288163---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","41.3526234251","-78.5428816263","2008","Elk","first_internal","","3","","3","other","100",""
"41.75436095-75.86524401---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","41.7543609521","-75.8652440148","2008","Susquehanna","final_internal","","3","","3","other","100",""
"39.83342633-80.00744217---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","39.833426334","-80.0074421719","2010","Greene","public","10","","","10","fracking","100",""
"41.93470043-77.04551627---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","41.9347004301","-77.0455162676","2005","Tioga","final_internal","","3","","3","other","100",""
"40.11926166-80.22276545---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","40.1192616602","-80.2227654516","2008","Washington","first_internal","","3","","3","other","100",""
"39.97307894-80.07508836---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","39.9730789435","-80.0750883566","2010","Greene","public","","10","","10","other","100",""
"41.86092583-76.01447864---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","41.860925826","-76.0144786408","2008","Susquehanna","final_internal","","3","","3","other","100",""
"41.7121834-75.59431172---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","41.7121834022","-75.5943117161","2008","Susquehanna","final_internal","","3","","3","other","100",""
"40.26119069-80.3451464---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","40.2611906895","-80.3451463963","2008","Washington","first_internal","","3","","3","other","100",""
"41.2759595-76.64983644---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.2759594978","-76.6498364358","2010","Lycoming","public","8","","2","10","fracking","80",""
"41.71896127-76.3605558---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","41.7189612683","-76.3605558026","2008","Bradford","final_internal","","3","","3","other","100",""
"40.36321847-79.33129478---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","40.3632184688","-79.3312947796","2010","Westmoreland","public","12","","","12","fracking","100",""
"41.56123631-76.10981559---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.56123631","-76.10981559","2010","Wyoming","first_internal","1","2","","3","other","66",""
"41.71984055-75.6604237---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","41.7198405511","-75.6604237036","2005","Susquehanna","final_internal","","3","","3","other","100",""
"41.86191329-76.84279524---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.8619132853","-76.8427952376","2010","Bradford","sweeper_internal","","1","","1","other","100",""
"41.67479153-77.33945991---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","41.674791525","-77.3394599082","2008","Tioga","final_internal","","3","","3","other","100",""
"39.77360781-79.99802799---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","39.7736078136","-79.9980279926","2010","Greene","sweeper_internal","1","","","1","fracking","100",""
"41.73753228-76.81047616---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","41.737532276","-76.8104761561","2008","Bradford","final_internal","","3","","3","other","100",""
"41.59746389-77.09700497---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","41.5974638944","-77.0970049673","2005","Tioga","missing_internal","","1","","1","other","100",""
"40.8647338-79.77817542---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","40.8647337976","-79.7781754193","2005","Butler","final_internal","","3","","3","other","100",""
"39.94481871-79.85978285---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","39.9448187061","-79.85978285","2010","Fayette","sweeper_internal","","1","","1","other","100",""
"41.68391543-75.87462932---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.6839154268","-75.8746293179","2010","Susquehanna","sweeper_internal","","1","","1","other","100",""
"41.53108249-76.34984688---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.53108249","-76.34984688","2010","Sullivan","first_internal","","3","","3","other","100",""
"40.83860447-79.66378027---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","40.83860447","-79.6637802669","2008","Armstrong","first_internal","","3","","3","other","100",""
"39.77037373-79.79962021---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","39.7703737294","-79.7996202068","2010","Fayette","public","","10","","10","other","100",""
"41.96986746-77.5924296---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.9698674628","-77.592429596","2010","Tioga","public","","9","2","11","other","81",""
"41.42771871-76.91416625---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","41.4277187119","-76.9141662523","2008","Lycoming","final_internal","","3","","3","other","100",""
"41.83813352-76.38271978---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","41.8381335168","-76.3827197804","2005","Bradford","final_internal","","3","","3","other","100",""
"39.74515133-79.35669247---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","39.7451513286","-79.3566924727","2010","Somerset","public","27","","","27","fracking","100",""
"41.76141523-75.97373122---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.76141523","-75.97373122","2010","Susquehanna","first_internal","","3","","3","other","100",""
"39.92874078-80.02080769---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","39.9287407837","-80.0208076937","2010","Greene","public","10","","","10","fracking","100",""
"39.90326024-80.00228538---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","39.9032602418","-80.0022853772","2010","Greene","public","","10","","10","other","100",""
"41.74871438-76.63185848---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","41.7487143752","-76.6318584796","2008","Bradford","final_internal","","3","","3","other","100",""
"41.52743228-76.35662913---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","41.5274322776","-76.3566291312","2005","Sullivan","final_internal","","3","","3","other","100",""
"41.89105728-76.93253151---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.8910572812","-76.9325315131","2010","Tioga","public","","10","","10","other","100",""
"41.99170956-77.53905814---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.9917095646","-77.5390581433","2010","Tioga","public","","11","","11","other","100",""
"41.71804174-76.41665843---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","41.71804174","-76.4166584271","2008","Bradford","final_internal","","3","","3","other","100",""
"40.15582246-79.74474026---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","40.1558224634","-79.7447402598","2005","Westmoreland","final_internal","","3","","3","other","100",""
"41.70538877-76.43389689---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.7053887667","-76.4338968913","2010","Bradford","sweeper_internal","","1","","1","other","100",""
"40.85606773-79.51652756---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","40.8560677294","-79.5165275568","2010","Armstrong","public","","10","","10","other","100",""
"39.72229319-79.99917783---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","39.7222931919","-79.9991778319","2008","Greene","sweeper_internal","","1","","1","other","100",""
"41.73954513-77.22198709---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","41.7395451327","-77.2219870866","2005","Tioga","missing_internal","","1","","1","other","100",""
"41.73212423-75.86249728---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.73212423","-75.86249728","2010","Susquehanna","first_internal","","3","","3","other","100",""
"41.71796832-76.41656604---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","41.7179683207","-76.4165660389","2005","Bradford","final_internal","","3","","3","other","100",""
"40.74059915-79.51057268---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","40.740599152","-79.5105726752","2008","Armstrong","first_internal","","3","","3","other","100",""
"39.83100184-79.98844972---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","39.8310018445","-79.9884497236","2010","Greene","public","","10","","10","other","100",""
"41.93166132-76.98763306---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","41.9316613189","-76.9876330576","2005","Tioga","missing_internal","","1","","1","other","100",""
"41.63434588-76.41962499---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","41.6343458849","-76.41962499","2005","Bradford","final_internal","","3","","3","other","100",""
"41.66946386-76.96779623---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","41.6694638604","-76.9677962272","2008","Tioga","final_internal","","3","","3","other","100",""
"41.82666774-76.06343793---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.8266677444","-76.0634379301","2010","Susquehanna","sweeper_internal","","1","","1","other","100",""
"41.68566541-75.89910368---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","41.6856654063","-75.8991036771","2005","Susquehanna","final_internal","","3","","3","other","100",""
"40.24285044-79.78636774---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","40.2428504407","-79.7863677379","2005","Westmoreland","final_internal","","2","1","3","other","66",""
"41.72624898-75.90319835---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","41.7262489779","-75.9031983539","2008","Susquehanna","final_internal","4","","","4","fracking","100",""
"41.7479768-75.94002618---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","41.7479767957","-75.9400261824","2005","Susquehanna","final_internal","","3","","3","other","100",""
"40.70474933-79.64263574---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","40.7047493307","-79.6426357392","2010","Armstrong","sweeper_internal","1","","","1","fracking","100",""
"41.76830663-75.93897912---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","41.7683066302","-75.9389791183","2008","Susquehanna","final_internal","","3","","3","other","100",""
"41.29180742-78.61784932---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.2918074223","-78.6178493249","2010","Elk","sweeper_internal","","1","","1","other","100",""
"41.74877556-76.63176373---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.7487755604","-76.6317637349","2010","Bradford","sweeper_internal","","1","","1","other","100",""
"41.68193702-77.26375947---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.6819370164","-77.2637594734","2010","Tioga","public","1","9","1","11","other","81",""
"41.29251674-76.62190324---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.2925167395","-76.6219032426","2010","Lycoming","public","","10","","10","other","100",""
"39.90563087-80.14187744---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","39.9056308725","-80.1418774434","2008","Greene","first_internal","","3","","3","other","100",""
"41.43081761-76.88125164---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","41.4308176053","-76.8812516367","2005","Lycoming","missing_internal","","1","","1","other","100",""
"41.76527215-76.2439195---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","41.765272154","-76.2439194962","2008","Bradford","final_internal","","3","","3","other","100",""
