Permit Issued,County,Township,API #,Status,Operator,Well Name & Number,Surface Lat,Surface Long,Endpoint Lat,Endpoint Long
12/11/2012,BELMONT,SOMERSET,34013206720000,Producing,GULFPORT ENERGY CORPORATION,MCCORT 1-28H,39.9196305,-81.2152106,39.9377172,-81.2279972
10/12/2012,BELMONT,WHEELING,34013206730000,Producing,HESS OHIO RESOURCES LLC,CAPSTONE HOLDINGS 3H-9,40.1498385,-81.0173109,40.1365086,-81.0055065
06/12/2013,BELMONT,SOMERSET,34013206740000,Producing,GULFPORT ENERGY CORPORATION,BOLTON 1-29H,39.9384901,-81.2075293,39.915126,-81.1988614
01/09/2013,BELMONT,WASHINGTON,34013206750100,Producing,GULFPORT ENERGY CORPORATION,IRONS 1-4H,39.9098242,-80.9061902,39.893194,-80.8919503
02/06/2013,BELMONT,SOMERSET,34013206770000,Producing,GULFPORT ENERGY CORPORATION,MCCORT 2-28H,39.9196658,-81.2151814,39.9435409,-81.2290605
01/03/2013,BELMONT,RICHLAND,34013206790000,Producing,HESS OHIO RESOURCES LLC,LUDE # 1H-34 1H-34,40.076968,-80.9974976,40.0917421,-81.0051022
01/11/2013,BELMONT,WASHINGTON,34013206800000,Producing,GULFPORT ENERGY CORPORATION,IRONS 2-4H,39.9098623,-80.9061679,39.8920897,-80.895312
02/08/2013,BELMONT,UNION,34013206810000,Drilled,GULFPORT ENERGY CORPORATION,EAGLE CREEK 1-26H,40.0665674,-81.0969212,40.087081,-81.1126436
11/26/2013,BELMONT,SOMERSET,34013206820000,Permitted,GULFPORT ENERGY CORPORATION,MCCORT 3-28H,39.9197121,-81.2151449,39.9359256,-81.2324202
06/17/2013,BELMONT,SOMERSET,34013206830000,Drilling,GULFPORT ENERGY CORPORATION,INHERST 2-14H,39.88939,-81.1768506,39.8672793,-81.1630089
06/17/2013,BELMONT,SOMERSET,34013206840000,Drilled,GULFPORT ENERGY CORPORATION,INHERST 1-14H,39.8893894,-81.1767971,39.8671956,-81.1600142
04/04/2013,BELMONT,UNION,34013206850000,Drilling,GULFPORT ENERGY CORPORATION,EAGLE CREEK 2-26H,40.0665762,-81.0969746,40.0869976,-81.1153474
04/04/2013,BELMONT,UNION,34013206860000,Permitted,GULFPORT ENERGY CORPORATION,EAGLE CREEK 4-26H,40.0665912,-81.0970779,40.0868255,-81.117985
04/04/2013,BELMONT,UNION,34013206870000,Permitted,GULFPORT ENERGY CORPORATION,EAGLE CREEK 3-26H,40.0665824,-81.097028,40.0870841,-81.1098843
07/03/2013,BELMONT,KIRKWOOD,34013206880000,Producing,GULFPORT ENERGY CORPORATION,SHUGERT 3-1H,40.0431744,-81.1232191,40.057313,-81.1271793
07/03/2013,BELMONT,KIRKWOOD,34013206890000,Producing,GULFPORT ENERGY CORPORATION,SHUGERT 2-1H,40.0430695,-81.1231712,40.0563814,-81.1346394
07/08/2013,BELMONT,WARREN,34013206900000,Drilled,GULFPORT ENERGY CORPORATION,SHUGERT 3-12H,40.0327371,-81.1457222,40.0571179,-81.1647993
07/08/2013,BELMONT,WARREN,34013206910000,Drilled,GULFPORT ENERGY CORPORATION,SHUGERT 2-12H,40.032653,-81.1458131,40.0566624,-81.1616856
06/17/2013,BELMONT,SOMERSET,34013206930000,Permitted,GULFPORT ENERGY CORPORATION,INHERST 3-14H,39.8893906,-81.176904,39.8673628,-81.1660037
05/28/2013,BELMONT,SOMERSET,34013206940000,Permitted,GULFPORT ENERGY CORPORATION,MCCORT 6-28H,39.9198291,-81.2150501,39.9359256,-81.2324202
05/28/2013,BELMONT,SOMERSET,34013206950000,Permitted,GULFPORT ENERGY CORPORATION,MCCORT 5-28H,39.9197938,-81.2150792,39.936149,-81.22972
05/28/2013,BELMONT,SOMERSET,34013206960000,Drilled,GULFPORT ENERGY CORPORATION,MCCORT 4-28H,39.9197475,-81.2151158,39.9459637,-81.2256313
07/08/2013,BELMONT,WARREN,34013206970000,Drilled,GULFPORT ENERGY CORPORATION,SHUGERT 4-12H,40.0326205,-81.1458495,40.0554969,-81.1661416
07/26/2013,BELMONT,SOMERSET,34013206980000,Drilled,GULFPORT ENERGY CORPORATION,STUTZMAN 2-14H,39.8904563,-81.1708783,39.8691912,-81.1542216
07/29/2013,BELMONT,SOMERSET,34013206990000,Producing,GULFPORT ENERGY CORPORATION,STUTZMAN 3-14H,39.8904013,-81.1708687,39.8669322,-81.1497404
06/21/2013,BELMONT,COLERAIN,34013207000100,Permitted,HESS OHIO RESOURCES LLC,COLERAIN A 1H-9,40.1425963,-80.7908584,40.1662811,-80.7984008
06/12/2013,BELMONT,SOMERSET,34013207010000,Permitted,GULFPORT ENERGY CORPORATION,BOLTON 5-29H,39.9383866,-81.2073601,39.9188701,-81.1899133
06/12/2013,BELMONT,SOMERSET,34013207020000,Drilling,GULFPORT ENERGY CORPORATION,BOLTON 4-29H,39.9384118,-81.2074024,39.9179148,-81.1921383
06/12/2013,BELMONT,SOMERSET,34013207030000,Producing,GULFPORT ENERGY CORPORATION,BOLTON # 3-29H 3-29H,39.9384397,-81.2074447,39.9169594,-81.1943597
06/12/2013,BELMONT,SOMERSET,34013207040000,Producing,GULFPORT ENERGY CORPORATION,BOLTON 2-29H,39.9384649,-81.207487,39.9160039,-81.196581
07/10/2013,BELMONT,KIRKWOOD,34013207050000,Drilled,HESS OHIO DEVELOPMENTS LLC,KIRKWOOD A 3H-33,40.0784438,-81.2248484,40.0609333,-81.2099574
07/03/2013,BELMONT,KIRKWOOD,34013207060000,Producing,GULFPORT ENERGY CORPORATION,SHUGERT 4-1H,40.0430198,-81.1231472,40.0538314,-81.1363329
07/03/2013,BELMONT,UNION,34013207070000,Producing,GULFPORT ENERGY CORPORATION,FAMILY 3-32H,40.0566493,-81.1039347,40.0391042,-81.0927474
07/03/2013,BELMONT,UNION,34013207080000,Producing,GULFPORT ENERGY CORPORATION,FAMILY 2-32H,40.056668,-81.1038879,40.0389493,-81.0896717
07/03/2013,BELMONT,UNION,34013207090000,Producing,GULFPORT ENERGY CORPORATION,FAMILY 1-32H,40.0566866,-81.1038375,40.0389957,-81.0866848
07/03/2013,BELMONT,UNION,34013207100000,Permitted,GULFPORT ENERGY CORPORATION,FAMILY 4-32H,40.0566334,-81.1039815,40.0392771,-81.0959549
07/23/2013,BELMONT,KIRKWOOD,34013207110000,Drilled,HESS OHIO DEVELOPMENTS LLC,KIRKWOOD A 1H-33,40.0783822,-81.2249889,40.0607937,-81.2190277
07/23/2013,BELMONT,KIRKWOOD,34013207120000,Drilled,HESS OHIO DEVELOPMENTS LLC,KIRKWOOD A 2H-33,40.0784116,-81.2249205,40.0606549,-81.2143678
07/29/2013,BELMONT,KIRKWOOD,34013207130000,Drilled,HESS OHIO DEVELOPMENTS LLC,KIRKWOOD A 4H-33,40.0784704,-81.2247765,40.06777,-81.2105234
10/09/2013,BELMONT,SMITH,34013207140000,Drilled,RICE DRILLING D LLC,BIGFOOT 7H,40.0251952,-80.9799201,40.0511227,-80.9999114
10/18/2013,BELMONT,SMITH,34013207150000,Drilled,RICE DRILLING D LLC,BIGFOOT 9H,40.0252466,-80.9798618,40.044995,-80.9932747
10/22/2013,BELMONT,SOMERSET,34013207160000,Drilling,GULFPORT ENERGY CORPORATION,WESLEY 2-8H,39.8925888,-81.1587515,39.8649505,-81.1436189
10/22/2013,BELMONT,SOMERSET,34013207170000,Drilling,GULFPORT ENERGY CORPORATION,WESLEY 1-8H,39.8925502,-81.158738,39.8648286,-81.1394992
11/12/2013,BELMONT,WARREN,34013207190000,Permitted,HESS OHIO DEVELOPMENTS LLC,WARREN BEL A 2H-21,39.9847689,-81.1959545,40.0023745,-81.2220758
11/05/2013,BELMONT,SMITH,34013207210000,Permitted,RICE DRILLING D LLC,BLUE THUNDER 10H,40.0244577,-81.0039479,40.0008168,-80.9904992
11/05/2013,BELMONT,SMITH,34013207220000,Permitted,RICE DRILLING D LLC,BLUE THUNDER 12H,40.0244566,-81.0038587,40.0015053,-80.9889564
11/12/2013,BELMONT,WARREN,34013207250000,Drilling,HESS OHIO DEVELOPMENTS LLC,WARREN BEL A 1H-21,39.9847419,-81.1959942,40.0012088,-81.2247103
11/12/2013,BELMONT,WARREN,34013207260000,Drilling,HESS OHIO DEVELOPMENTS LLC,WARREN BEL A 3H-21,39.9847987,-81.1959146,40.0047399,-81.2209613
11/12/2013,BELMONT,WARREN,34013207270000,Permitted,HESS OHIO DEVELOPMENTS LLC,WARREN BEL A 4H-21,39.9848257,-81.1958785,40.0063174,-81.2188474
11/12/2013,BELMONT,WARREN,34013207280000,Permitted,HESS OHIO DEVELOPMENTS LLC,WARREN BEL A 5H-21,39.9848555,-81.1958386,40.0061355,-81.2145097
02/19/2014,BELMONT,SMITH,34013207290000,Drilled,HESS OHIO RESOURCES LLC,SMITH A 1H-12,40.0200755,-80.9278409,40.0014093,-80.9083506
12/05/2013,BELMONT,WHEELING,34013207300000,Drilling,HESS OHIO RESOURCES LLC,WHEELING A 5H-9,40.149873,-81.0172135,40.1642183,-81.0257948
04/15/2014,BELMONT,WAYNE,34013207310000,Permitted,GULFPORT ENERGY CORPORATION,PERKINS 4-4H,39.9112391,-81.017379,39.929694,-81.0205551
04/15/2014,BELMONT,WAYNE,34013207320000,Permitted,GULFPORT ENERGY CORPORATION,PERKINS 3-4H,39.9112411,-81.0173255,39.9293303,-81.0243751
04/15/2014,BELMONT,WAYNE,34013207330000,Drilling,GULFPORT ENERGY CORPORATION,PERKINS 2-4H,39.9112432,-81.017272,39.9279966,-81.0274916
12/12/2013,BELMONT,WAYNE,34013207340000,Drilling,GULFPORT ENERGY CORPORATION,PERKINS 1-4H,39.9112453,-81.0172185,39.9256932,-81.0299046
12/16/2013,BELMONT,RICHLAND,34013207350000,Drilled,HESS OHIO RESOURCES LLC,RICHLAND  B 2H-34,40.0769387,-80.9975698,40.0908759,-81.0088812
12/31/2013,BELMONT,SOMERSET,34013207370000,Permitted,GULFPORT ENERGY CORPORATION,AMANDA 1-14H,39.8894268,-81.1701603,39.911948,-81.1812913
12/31/2013,BELMONT,SOMERSET,34013207380000,Permitted,GULFPORT ENERGY CORPORATION,AMANDA 2-14H,39.8894081,-81.170207,39.911999,-81.1858323
12/31/2013,BELMONT,SOMERSET,34013207390000,Permitted,GULFPORT ENERGY CORPORATION,AMANDA 3-14H,39.8893895,-81.1702572,39.9149939,-81.1924214
12/31/2013,BELMONT,SOMERSET,34013207400000,Permitted,GULFPORT ENERGY CORPORATION,AMANDA 4-14H,39.8893736,-81.1703038,39.9135033,-81.1958899
01/24/2014,BELMONT,SOMERSET,34013207410000,Permitted,GULFPORT ENERGY CORPORATION,BAHMER 3-30H,39.9485676,-81.2046845,39.9271641,-81.1832777
01/24/2014,BELMONT,SOMERSET,34013207420000,Permitted,GULFPORT ENERGY CORPORATION,BAHMER 2-30H,39.9485265,-81.2046924,39.9217722,-81.1835439
01/24/2014,BELMONT,SOMERSET,34013207430000,Permitted,GULFPORT ENERGY CORPORATION,BAHMER 1-30H,39.9484882,-81.2047002,39.9193282,-81.1859541
02/10/2014,BELMONT,KIRKWOOD,34013207480000,Permitted,GULFPORT ENERGY CORPORATION,HAYES 3-1H,40.0447989,-81.1205758,40.0254148,-81.1113871
02/10/2014,BELMONT,KIRKWOOD,34013207490000,Drilled,GULFPORT ENERGY CORPORATION,HAYES 1-1H,40.0448059,-81.1204685,40.0280086,-81.1055356
02/10/2014,BELMONT,KIRKWOOD,34013207500000,Drilling,GULFPORT ENERGY CORPORATION,HAYES 2-1H,40.044801,-81.1205221,40.0266647,-81.1084267
02/10/2014,BELMONT,KIRKWOOD,34013207510000,Permitted,GULFPORT ENERGY CORPORATION,HAYES 4-1H,40.0447968,-81.1206294,40.0241676,-81.1143438
03/13/2014,BELMONT,SOMERSET,34013207520000,Permitted,GULFPORT ENERGY CORPORATION,BROTHERS 1-36H,39.9504961,-81.2197945,39.9394956,-81.2088338
04/21/2014,BELMONT,SOMERSET,34013207530000,Drilling,GULFPORT ENERGY CORPORATION,BROTHERS 2-36H,39.9505356,-81.2196403,39.9382213,-81.2117963
03/13/2014,BELMONT,SOMERSET,34013207540000,Permitted,GULFPORT ENERGY CORPORATION,BROTHERS 3-36H,39.9505224,-81.2196905,39.936947,-81.2147622
06/05/2014,BELMONT,SOMERSET,34013207550000,Permitted,GULFPORT ENERGY CORPORATION,BROTHERS 4-36H,39.950546,-81.2195902,39.9407697,-81.2058677
02/26/2014,BELMONT,SOMERSET,34013207570100,Permitted,GULFPORT ENERGY CORPORATION,DUVALL 1-5H,39.9278298,-81.1254857,39.9062671,-81.1111176
02/26/2014,BELMONT,SOMERSET,34013207580000,Permitted,GULFPORT ENERGY CORPORATION,DUVALL 2-5H,39.927871,-81.1254849,39.9064012,-81.1154927
02/26/2014,BELMONT,SOMERSET,34013207590000,Permitted,GULFPORT ENERGY CORPORATION,DUVALL 3-5H,39.9279121,-81.1254805,39.909199,-81.1217863
03/11/2014,BELMONT,UNION,34013207610000,Drilling,GULFPORT ENERGY CORPORATION,TRIPLE B 1-21H,40.0686075,-81.0743649,40.0873069,-81.0825622
03/11/2014,BELMONT,UNION,34013207620000,Permitted,GULFPORT ENERGY CORPORATION,TRIPLE B 2-21H,40.0686082,-81.0744184,40.0840585,-81.0893585
05/13/2014,BELMONT,UNION,34013207630000,Drilling,GULFPORT ENERGY CORPORATION,TRIPLE B 3-21H,40.0686095,-81.0745256,40.0870744,-81.0869668
04/15/2014,BELMONT,UNION,34013207640000,Drilling,GULFPORT ENERGY CORPORATION,SANDRA 1-31H,40.0408487,-81.1085101,40.0550083,-81.1116451
04/15/2014,BELMONT,UNION,34013207650000,Permitted,GULFPORT ENERGY CORPORATION,SANDRA 2-31H,40.0408074,-81.1085003,40.0543789,-81.1160054
04/07/2014,BELMONT,YORK,34013207680000,Permitted,XTO ENERGY INC.,SCHNEGG UNIT B 3H,39.8640645,-80.8616121,39.8544128,-80.8498448
07/03/2014,BELMONT,YORK,34013207690000,Permitted,XTO ENERGY INC.,SCHNEGG UNIT C 5H,39.8640749,-80.8615656,39.8548258,-80.8442811
04/08/2014,BELMONT,YORK,34013207700000,Permitted,XTO ENERGY INC.,KASETA UNIT 7H,39.9155692,-80.8748638,39.90055,-80.8565283
04/08/2014,BELMONT,YORK,34013207710000,Permitted,XTO ENERGY INC.,KASETA UNIT 3H,39.9155167,-80.8748437,39.8976622,-80.8660072
04/08/2014,BELMONT,YORK,34013207720000,Permitted,XTO ENERGY INC.,KASETA UNIT 1H,39.9154919,-80.8748371,39.8982328,-80.8626252
04/08/2014,BELMONT,YORK,34013207730000,Permitted,XTO ENERGY INC.,KASETA UNIT 5H,39.9155443,-80.8748537,39.9003034,-80.8600953
04/11/2014,BELMONT,MEAD,34013207740000,Permitted,XTO ENERGY INC.,KALDOR UNIT B 9H,39.9761434,-80.8381635,39.9899089,-80.8652611
04/11/2014,BELMONT,MEAD,34013207750000,Permitted,XTO ENERGY INC.,KALDOR UNIT B 7H,39.9760886,-80.8381755,39.9825934,-80.8636059
04/23/2014,BELMONT,MEAD,34013207760000,Permitted,XTO ENERGY INC.,KALDOR UNIT B 8H,39.976116,-80.8381677,39.985635,-80.8627776
05/02/2014,BELMONT,WASHINGTON,34013207800000,Permitted,GULFPORT ENERGY CORPORATION,LORNA 1C,39.9133311,-81.0046098,39.8991802,-80.9853729
05/06/2014,BELMONT,UNION,34013207810000,Permitted,GULFPORT ENERGY CORPORATION,SANDRA 3-31H,40.0407688,-81.1084903,40.0561826,-81.1213748
06/20/2014,BELMONT,WASHINGTON,34013207820000,Permitted,GULFPORT ENERGY CORPORATION,LORNA 2A,39.9132711,-81.0046467,39.8943125,-80.9919946
05/22/2014,BELMONT,KIRKWOOD,34013207830000,Permitted,GULFPORT ENERGY CORPORATION,SWALLIE 210041 1C,40.0389596,-81.1389539,40.0565486,-81.1462399
05/22/2014,BELMONT,KIRKWOOD,34013207840000,Permitted,GULFPORT ENERGY CORPORATION,SWALLIE 210041 2B,40.0389602,-81.1390074,40.0551703,-81.1493356
06/10/2014,BELMONT,WASHINGTON,34013207850000,Permitted,XTO ENERGY INC.,PAVICH UNIT 1H,39.8625496,-80.9218697,39.8474461,-80.9133856
06/05/2014,BELMONT,RICHLAND,34013207870000,Permitted,XTO ENERGY INC.,COOK UNIT 5H,40.0002976,-80.8906482,39.9905162,-80.8684592
06/10/2014,BELMONT,WASHINGTON,34013207880000,Permitted,XTO ENERGY INC.,PAVICH UNIT 7H,39.8626034,-80.9217866,39.8522579,-80.9068032
06/10/2014,BELMONT,WASHINGTON,34013207890000,Permitted,XTO ENERGY INC.,PAVICH UNIT 5H,39.8625873,-80.9218154,39.8489399,-80.9071214
06/10/2014,BELMONT,WASHINGTON,34013207900000,Permitted,XTO ENERGY INC.,PAVICH UNIT 3H,39.8625684,-80.9218408,39.8475539,-80.908781
06/12/2014,BELMONT,WAYNE,34013207910000,Permitted,GULFPORT ENERGY CORPORATION,STRONZ 210170 6A,39.9319861,-81.1230998,39.9508839,-81.1391236
06/12/2014,BELMONT,WAYNE,34013207920000,Permitted,GULFPORT ENERGY CORPORATION,STRONZ 210170 1C,39.9320462,-81.1228418,39.9535222,-81.1329719
06/12/2014,BELMONT,WAYNE,34013207930000,Permitted,GULFPORT ENERGY CORPORATION,STRONZ 210170 3B,39.9320227,-81.1229457,39.9522017,-81.1360478
06/12/2014,BELMONT,WAYNE,34013207940000,Permitted,GULFPORT ENERGY CORPORATION,STRONZ 210233 4B,39.9320123,-81.1229958,39.9146917,-81.1088993
06/12/2014,BELMONT,WAYNE,34013207950000,Permitted,GULFPORT ENERGY CORPORATION,STRONZ 210233 5A,39.9319992,-81.1230496,39.9133358,-81.1119498
06/12/2014,BELMONT,WAYNE,34013207960000,Permitted,GULFPORT ENERGY CORPORATION,STRONZ 210233 2C,39.9320358,-81.1228955,39.9160475,-81.1058558
06/20/2014,BELMONT,WASHINGTON,34013208000000,Permitted,GULFPORT ENERGY CORPORATION,LEPLEY 201218 3E,39.878667,-80.974965,39.8566516,-80.9591813
06/20/2014,BELMONT,WASHINGTON,34013208010000,Permitted,GULFPORT ENERGY CORPORATION,LEPLEY 210218 5D,39.8787417,-80.9750061,39.8568629,-80.9637758
06/20/2014,BELMONT,WASHINGTON,34013208020000,Permitted,GULFPORT ENERGY CORPORATION,LEPLEY 210218 1F,39.8785896,-80.9749239,39.8563818,-80.9545454
06/20/2014,BELMONT,WASHINGTON,34013208030000,Permitted,GULFPORT ENERGY CORPORATION,LEPLEY 210218 2C,39.8786283,-80.9749444,39.894538,-80.9820273
06/20/2014,BELMONT,WASHINGTON,34013208040000,Permitted,GULFPORT ENERGY CORPORATION,LEPLEY 210218 6A,39.8787804,-80.9750266,39.8934816,-80.9901556
06/20/2014,BELMONT,WASHINGTON,34013208050000,Permitted,GULFPORT ENERGY CORPORATION,LEPLEY 210218 4B,39.8787057,-80.9749855,39.8949341,-80.9867557
06/26/2014,BELMONT,YORK,34013208060000,Permitted,XTO ENERGY INC.,KASETA UNIT B 4H,39.9156216,-80.874884,39.9307181,-80.8854689
06/26/2014,BELMONT,YORK,34013208070000,Permitted,XTO ENERGY INC.,KASETA UNIT B 2H,39.9155968,-80.8748739,39.9318198,-80.8821373
06/26/2014,BELMONT,YORK,34013208080000,Permitted,XTO ENERGY INC.,KASETA UNIT B 8H,39.915674,-80.8749006,39.9340812,-80.8755045
06/26/2014,BELMONT,YORK,34013208090000,Permitted,XTO ENERGY INC.,KASETA UNIT B 6H,39.9156492,-80.8748905,39.9329658,-80.8788295
07/09/2014,BELMONT,MEAD,34013208120000,Permitted,XTO ENERGY INC.,ALBRIGHT UNIT 2H,39.9544679,-80.8295704,39.954016,-80.8463165
07/09/2014,BELMONT,MEAD,34013208130000,Permitted,XTO ENERGY INC.,ALBRIGHT UNIT 4H,39.9544314,-80.8295142,39.9583017,-80.8494148
07/09/2014,BELMONT,MEAD,34013208140000,Permitted,XTO ENERGY INC.,ALBRIGHT UNIT 6H,39.954451,-80.8295422,39.9605684,-80.8458216
07/14/2014,BELMONT,SMITH,34013208150000,Permitted,AMERICAN ENERGY UTICA LLC,EUREKA SMT BL 2H,40.0200489,-80.9279058,39.9990549,-80.9106749
07/14/2014,BELMONT,SMITH,34013208160000,Permitted,AMERICAN ENERGY UTICA LLC,EUERKA SMT BL 6H,40.0201021,-80.9277796,40.0022737,-80.9046752
01/31/2011,CARROLL,AUGUSTA,34019220730100,Producing,CHESAPEAKE EXPLORATION LLC,MANGUN 22-15-5 8H,40.6727836,-81.0251244,40.6557549,-81.0151753
03/09/2011,CARROLL,EAST,34019220740000,Producing,CHESAPEAKE EXPLORATION LLC,BUCEY 21-14-4 3H,40.6815336,-80.9251544,40.6930049,-80.9344472
08/11/2011,CARROLL,WASHINGTON,34019220750000,Producing,CHESAPEAKE EXPLORATION LLC,NEIDER 10-14-5 3H,40.6019804,-81.0009288,40.6133981,-81.0112225
03/28/2011,CARROLL,WASHINGTON,34019220760100,Producing,CHESAPEAKE EXPLORATION LLC,HARVEY 16-14-5 8H,40.6059748,-81.0224539,40.5932127,-81.0153154
05/03/2011,CARROLL,CENTER,34019220790000,Drilled,CHESAPEAKE EXPLORATION LLC,BURGETT 7-15-6 8H,40.5638771,-81.1295195,40.5466086,-81.1169202
08/16/2011,CARROLL,CENTER,34019220810100,Producing,CHESAPEAKE EXPLORATION LLC,SHAW 20-14-5 5H,40.5777097,-81.0530082,40.5939656,-81.0582975
06/08/2011,CARROLL,AUGUSTA,34019220820100,Producing,CHESAPEAKE EXPLORATION LLC,WEST 4-15-5 3H,40.7198151,-81.0350945,40.733174,-81.0443773
06/24/2011,CARROLL,EAST,34019220840100,Producing,CHESAPEAKE EXPLORATION LLC,CONIGLIO 7-14-4 6H,40.7139268,-80.9613731,40.7023954,-80.9531491
06/27/2011,CARROLL,CENTER,34019220850000,Producing,CHESAPEAKE EXPLORATION LLC,BURGETT 7-15-6 8H-RS,40.5638889,-81.1295913,40.5466177,-81.1169956
09/20/2011,CARROLL,LEE,34019220880000,Producing,CHESAPEAKE EXPLORATION LLC,WHITE 17-13-5 8H,40.531722,-81.0256461,40.5185983,-81.0162352
08/24/2011,CARROLL,LEE,34019220890100,Producing,CHESAPEAKE EXPLORATION LLC,BAILEY 35-12-4 6H,40.5364389,-80.9731919,40.5215303,-80.9642887
09/20/2011,CARROLL,LEE,34019220900100,Producing,CHESAPEAKE EXPLORATION LLC,TANNER 24-12-4 10H,40.5510135,-80.9299863,40.5390248,-80.9168761
09/12/2011,CARROLL,WASHINGTON,34019220910000,Producing,CHESAPEAKE EXPLORATION LLC,SCHMUCK FARMS 22-14-5 3H,40.6109608,-81.0402458,40.6261601,-81.0513658
09/27/2011,CARROLL,LEE,34019220920000,Producing,CHESAPEAKE EXPLORATION LLC,WHITE 17-13-5 10H,40.5330021,-81.0265568,40.520139,-81.01269
01/04/2012,CARROLL,HARRISON,34019220930000,Producing,ENERVEST OPERATING L,CAIRNS 5H,40.6103853,-81.1881206,40.5967223,-81.1781121
05/21/2012,CARROLL,ROSE,34019220940000,Producing,CHESAPEAKE EXPLORATION LLC,OTT 13-16-7 10H,40.5709852,-81.2526086,40.5588653,-81.241106
03/05/2012,CARROLL,ROSE,34019220940100,Drilled,CHESAPEAKE EXPLORATION LLC,OTT 2H,40.5709851,-81.252605,40.5585712,-81.2408273
10/14/2011,CARROLL,LEE,34019220950000,Producing,CHESAPEAKE EXPLORATION LLC,WHITE 17-13-5 3H,40.5330985,-81.0265835,40.5451347,-81.0353962
11/03/2011,CARROLL,LEE,34019220960000,Producing,CHESAPEAKE EXPLORATION LLC,HOUYOUSE 15-13-5 8H,40.5099568,-81.0292538,40.495719,-81.018802
10/31/2011,CARROLL,LEE,34019220970000,Producing,CHESAPEAKE EXPLORATION LLC,SNODDY 11-13-5 5H,40.5310592,-81.0138994,40.5437416,-81.0208024
10/31/2011,CARROLL,LEE,34019220980000,Producing,CHESAPEAKE EXPLORATION LLC,SNODDY 11-13-5 1H,40.5310885,-81.0140391,40.5448378,-81.0261795
11/14/2011,CARROLL,LEE,34019220990000,Producing,CHESAPEAKE EXPLORATION LLC,HOUYOUSE 15-13-5 1H,40.5100454,-81.0293093,40.5217555,-81.0422672
11/25/2011,CARROLL,LEE,34019221000000,Producing,CHESAPEAKE EXPLORATION LLC,HOUYOUSE 15-13-5 6H,40.5099906,-81.0293177,40.4967858,-81.0242226
11/30/2011,CARROLL,LEE,34019221010000,Producing,CHESAPEAKE EXPLORATION LLC,BAILEY 35-12-4 3H,40.5371407,-80.9739386,40.5491275,-80.9847194
11/30/2011,CARROLL,LEE,34019221020000,Producing,CHESAPEAKE EXPLORATION LLC,BAILEY 35-12-4 1H,40.53634,-80.9731906,40.5482795,-80.9888881
12/06/2011,CARROLL,EAST,34019221030000,Producing,CHESAPEAKE EXPLORATION LLC,BUCEY 21-14-4 5H,40.6814793,-80.9251954,40.6971258,-80.9330551
12/06/2011,CARROLL,EAST,34019221040000,Producing,CHESAPEAKE EXPLORATION LLC,BUCEY 21-14-4 6H,40.6814813,-80.9253396,40.6688818,-80.9196894
12/15/2011,CARROLL,LEE,34019221050000,Producing,CHESAPEAKE EXPLORATION LLC,SNODDY 11-13-5 6H,40.5310453,-81.014094,40.5188539,-81.007197
12/23/2011,CARROLL,WASHINGTON,34019221060000,Permitted,CHESAPEAKE EXPLORATION LLC,HARVEY 16-14-5 6H,40.6058699,-81.0224094,40.5896126,-81.0177797
12/23/2011,CARROLL,WASHINGTON,34019221070000,Permitted,CHESAPEAKE EXPLORATION LLC,HARVEY 16-14-5 10H,40.6058579,-81.0223304,40.5919418,-81.0104714
